1. Código DANE Departamento,2. Código DANE Municipio,3. Informacion Predial utilizada,4. Número Predial Nacional o Información Predial Catastral,5. Dirección catastral del predio,6. Tipo de Asentamiento (Cabecera Municipal-Centros Poblados-Rural Dispersa),7. Tipo de Estratificacion,8. Estrato alcaldia,9. Estrato Atipico,10. ACUEDUCTO - NOMBRE EMPRESA,11. ACUEDUCTO - NIT,12. ACUEDUCTO -DV,13. ACUEDUCTO - NUIU,14. ACUEDUCTO - ESTRATO,15. ALCANTARILLADO - NOMBRE EMPRESA,16. ALCANTARILLADO - NIT,17. ALCANTARILLADO - DV,18. ALCANTARILLADO - NUIU,19. ALCANTARILLADO - ESTRATO,20. ASEO - NOMBRE EMPRESA,21. ASEO - NIT,22. ASEO - DV,23. ASEO - NUIU,24. ASEO -ESTRATO
52,490,1,524900000000000000044000000000,LA PUNTICA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000045000000000,LA GRIETA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000046000000000,CALABAZAL,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000047000000000,EL COCO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000048000000000,EL BARBACO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000049000000000,LA GRIETA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000050000000000,EL COCAL,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000051000000000,HERRERA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000052000000000,SOYAL,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000053000000000,LA VIVORA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000054000000000,MERIZALDE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000055000000000,MERIZALDE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000056000000000,MERISALDE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000057000000000,OBATA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
